unnamed:_0,flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,ques_verbatim_text,loyalty_program_level,fleet_type_description,fleet_usage,response_group,sentiments,transformed_text
1169,2,SFX,SIX,2022-09-30,Early & Ontime,Delayed,Pacific,Aeroplane food sucks. But I am not sure how to fix it [food]. I suspect you are doing your best.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-9,Mainline,non-member,Neutral,aeroplan food suck sure fix food suspect best
1170,275,IAX,RDX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,"There is inconsistency in first class service. Sometimes we are offered a pre-take off cocktail, other times a choice of two drinks (like water or mimosa for example), and other times, only water. in my opinion, there should always be a pre-takeoff cocktail because the boarding process takes a long time. we have paid for premium service.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,inconsist first class servic sometim offer cocktail time choic two drink like water mimosa exampl time water opinion alway cocktail board process take long time paid premium servic
1171,1103,CMX,SFX,2022-09-30,Early & Ontime,Delayed,Domestic,I would like hot food options for purchase.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-800,Mainline,member,Neutral,would like hot food option purchas
1172,2006,DFX,SFX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,The chicken and impossible meat balls get old when you are a frequent flier. Most crews do not offer a box. Rarely an attendant with all but the entree— I think that is great!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,A319-100,Mainline,member,Neutral,chicken imposs meat ball get old frequent flier crew offer box rare attend think great
1173,5998,PSX,SFX,2022-09-30,Delayed,Delayed,Domestic,"This flight is so short, I have to wonder why it is necessary to have a food service. I would be fine with NO food service on short flights that are small. Just my take.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-700,Express,member,Neutral,flight short wonder necessari food servic would fine food servic short flight small take
1174,5865,SMX,LAX,2022-09-30,Early & Ontime,Delayed,Domestic,Love Mr & Mrs T's Bloody Mary mix.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,ERJ-175,Express,member,Neutral,love mr mr bloodi mari mix
1175,1066,EWX,MEX,2022-09-30,Delayed,Delayed,Latin,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-700,Mainline,member,Neutral,
1176,5223,IAX,TUX,2022-09-29,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,CRJ-200,Express,non-member,Neutral,
1177,2636,SAX,DEX,2022-09-30,Early & Ontime,Early & Ontime,Domestic,Great.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,great
1178,2465,IAX,JAX,2022-09-01,Delayed,Delayed,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member,Neutral,
1179,4438,ALX,EWX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,Good del toon from Ewr to Cancun was not very good.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,CRJ-550,Express,member,Neutral,good del toon ewr cancun good
1180,108,MUX,IAX,2022-09-01,Early & Ontime,Early & Ontime,Atlantic,The food was fine but not particularly good. the sandwich served before landing was not at all appealing - again expect a little more on a 9 hour flight. However the flight attendants were great about coming around with water - they did not do that on my outbound flight.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,food fine particularli good sandwich serv land appeal expect littl 9 hour flight howev flight attend great come around water outbound flight
1181,108,MUX,IAX,2022-09-01,Early & Ontime,Early & Ontime,Atlantic,More selection.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,select
1182,3911,LEX,ORX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member,Neutral,
1183,1008,ORX,ORX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member,Negative,
1184,126,ATX,EWX,2022-09-01,Early & Ontime,Early & Ontime,Atlantic,Disappointed with food offerings.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B787-10,Mainline,member,Neutral,disappoint food offer
1185,940,LHX,SFX,2022-09-01,Early & Ontime,Delayed,Atlantic,I thought the food was not the best. My hamburger bun was very hard. Probably over heated. On my flight to Greece your food was excellent.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B787-9,Mainline,member,Neutral,thought food best hamburg bun hard probabl heat flight greec food excel
1186,940,LHX,SFX,2022-09-01,Early & Ontime,Delayed,Atlantic,The food was surprisingly good.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B787-9,Mainline,member,Neutral,food surprisingli good
1187,1780,EWX,RSX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,I wished you provided the same offer to order in advance on my return trip to Newark.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX8,Mainline,non-member,Neutral,wish provid offer order advanc return trip newark
1188,2275,EWX,RSX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,"For the first time in a very long time I had a meal as they have been inedible over the last several years. The scrambled eggs were delicious. Although it was not available on this flight, I love the idea of pre-ordering the meal.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-MAX8,Mainline,member,Neutral,first time long time meal ined last sever year scrambl egg delici although avail flight love idea meal
1189,2412,MSX,DEX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,
1190,981,ORX,DUX,2022-09-02,Early & Ontime,Early & Ontime,Atlantic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member,Neutral,
1191,2061,IAX,BOX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-900,Mainline,member,Neutral,would prefer small bottl water glass time easier person hate stroopwaffl pretzel fine
1192,2629,ORX,CHX,2022-09-01,Delayed,Delayed,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member,Neutral,
1193,1155,IAX,CUX,2022-09-02,Early & Ontime,Early & Ontime,Latin,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,
1194,931,SFX,LHX,2022-09-02,Delayed,Delayed,Atlantic,It really would be great if you went back to the pre-COVID separation of courses. I am consistently finding that the entree is cold by the time I am done eating my appetizer.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B787-9,Mainline,member,Neutral,realli would great went back separ cours consist find entre cold time done eat appet
1195,2361,GTX,DEX,2022-09-02,Delayed,Delayed,Domestic,,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,
1196,1421,FLX,IAX,2022-09-03,Delayed,Delayed,Domestic,First I was happy to get a meal. Thank you. All in all the food was good. My only concern was the chicken was somewhat dry and tasteless. Thought you would want to know. Other than that it was very good. Thank you for the wonderful service!!!.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-900,Mainline,member,Neutral,first happi get meal thank food good concern chicken somewhat dri tasteless thought would want know good thank wonder servic
1197,972,FCX,ORX,2022-09-03,Early & Ontime,Early & Ontime,Atlantic,Chicken curry was so good.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-8,Mainline,member,Neutral,chicken curri good
1198,972,FCX,ORX,2022-09-03,Early & Ontime,Early & Ontime,Atlantic,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-8,Mainline,non-member,Neutral,
1199,951,IAX,BRX,2022-09-03,Delayed,Delayed,Atlantic,"I am not a strict vegetarian, but I no longer ask for vegetarian meals because United lazily serves a very disappointing, bland and stale vegan meal instead. Clearly the difference between vegetarian and vegan is not yet understood. I miss out on the delicious ice cream whenever I order vegetarian. Also, I tried to reserve a vegetarian meal for my girlfriend (who is a strict vegetarian) but it kept glitching and no matter how many times I tried, it refused to save the request for this past flight.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-300,Mainline,member,Neutral,strict vegetarian longer ask vegetarian meal unit lazili serv disappoint bland stale vegan meal instead clearli differ vegetarian vegan yet understood miss delici ice cream whenev order vegetarian also tri reserv vegetarian meal girlfriend strict vegetarian kept glitch matter mani time tri refus save request past flight
1200,955,SFX,TLX,2022-09-03,Early & Ontime,Delayed,Atlantic,more selection please….,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,select
1201,955,SFX,TLX,2022-09-03,Early & Ontime,Delayed,Atlantic,I wish that there were a prompt for a vegan option upon ordering the ticket. I have went through my first flight without food since I did not know I should ask for a vegan option in advance.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,wish prompt vegan option upon order ticket went first flight without food sinc know ask vegan option advanc
1202,1057,CUX,IAX,2022-09-03,Delayed,Delayed,Latin,Everything is excelent.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,everyth excel
1203,2198,PHX,ORX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,I have not flown United in a while and was pleased that an IPA was available on board. It is my favorite style.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,flown unit pleas ipa avail board favorit style
1204,3493,EWX,CLX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,ERJ-170,Express,member,Neutral,
1205,1868,CZX,IAX,2022-09-03,Delayed,Early & Ontime,Latin,more variety would help a whole lot.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-800,Mainline,member,Neutral,varieti would help whole lot
1206,1840,DEX,MSX,2022-09-02,Delayed,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,
1207,463,IAX,PDX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,My grandson and I both loved the burger and the salad selection on the menu. We ordered seconds since we shared. Very tasty.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,grandson love burger salad select menu order second sinc share tasti
1208,463,IAX,PDX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,Nasty tasting wine. Very bitter.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member,Neutral,
1209,1905,EWX,SFX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,"Ran out of the non-vegetarian option, was quite disappointed.",70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member,Neutral,ran option quit disappoint
1210,2485,LGX,IAX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,
1211,2602,DEX,RSX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-800,Mainline,member,Neutral,
1212,2335,PHX,ORX,2022-09-03,Delayed,Delayed,Domestic,More food.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,food
1213,2335,PHX,ORX,2022-09-03,Delayed,Delayed,Domestic,Very satisfying.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-900,Mainline,member,Neutral,satisfi
1214,987,CDX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,I was pleased with the pasta offering.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-8,Mainline,member,Neutral,pleas pasta offer
1215,987,CDX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,I flew Polaris and it was a little weird that out of four choices everyone was asked for a first and second choice and even with that some did not get either. It seems there were not enough of each choice on board.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-8,Mainline,member,Neutral,flew polari littl weird four choic everyon ask first second choic even get either seem enough choic board
1216,2235,RIX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,No.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,
1217,2272,ANX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,"I liked the opportunity to choose a meal before the flight, this allows you to know what you will be having.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member,Neutral,like opportun choos meal flight allow know
1218,3736,ERX,ORX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,More hot vegetarian options.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member,Neutral,hot vegetarian option
1219,1477,DEX,EUX,2022-09-05,Delayed,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,
1220,128,DUX,IAX,2022-09-05,Delayed,Delayed,Atlantic,Wine was complementary which was a lovely touch.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,wine complementari love touch
1221,970,AMX,SFX,2022-09-05,Delayed,Delayed,Atlantic,,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B787-9,Mainline,member,Neutral,food option gener good polari class unfortun abl get food choic run order taken last take last choic pork eat need due durat flight fault flight attend apologet
1222,460,DEX,MSX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,Coffee.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,coffe
1223,6115,LGX,IAX,2022-09-05,Delayed,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member,Neutral,
1224,1238,SFX,SEX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A319-100,Mainline,member,Neutral,
1225,2121,SEX,EWX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,I could not buy anything because I can not use my card. flight attendant told me it is touchless purchase which is stupid. She said it is due to covid which is more stupid because we are sitting without masks but can not use my card due to coved. the stupidity of flight attendants amazes me.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX8,Mainline,non-member,Neutral,could buy anyth use card flight attend told touchless purchas stupid said due covid stupid sit without mask use card due cove stupid flight attend amaz
1226,1225,LAX,HNX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,I miss the food United use to serve.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,miss food unit use serv
1227,5456,GJX,DEX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,"Obviously there is not time for a full beverage service on this flight, but a small bottle of water would be much appreciated.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-175,Express,member,Neutral,obvious time full beverag servic flight small bottl water would much appreci
1228,2125,MSX,DEX,2022-09-06,Early & Ontime,Early & Ontime,Domestic,Great.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,great
1229,4659,CPX,DEX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,There was not any….,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,CRJ-200,Express,member,Negative,
1230,1477,DEX,RIX,2022-09-06,Early & Ontime,Early & Ontime,Domestic,Would like to have protein only option.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,would like protein option
1231,3607,EWX,MCX,2022-09-06,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-170,Express,member,Neutral,
1232,1278,CUX,LAX,2022-09-06,Early & Ontime,Early & Ontime,Latin,Looking forward to the next flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,look forward next flight
1233,603,DEX,SBX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,
1234,2125,LAX,EWX,2022-09-05,Delayed,Delayed,Domestic,"I am not really sure what was offered because I was asleep. I actually had feedback about the airport food/beverage options at the time of the flight: nothing in the gate area, had to go to a completely different gate area for it. But I realize there may not be anything you can do about that.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX8,Mainline,member,Neutral,realli sure offer asleep actual feedback airport option time flight noth gate area go complet differ gate area realiz may anyth
1235,1404,IAX,PNX,2022-09-06,Delayed,Delayed,Domestic,"no, the service was good.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-700,Mainline,non-member,Neutral,servic good
1236,3708,SAX,ORX,2022-09-05,Delayed,Delayed,Domestic,I am fully satisfied with the beverages served in the flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-170,Express,non-member,Neutral,fulli satisfi beverag serv flight
1237,1137,DEX,MKX,2022-09-07,Delayed,Early & Ontime,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,
1238,1491,PDX,ORX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,REALLLY good chicken thing. Spiciness was actually... spicy!. In a really good way. I would eat/order the chicken thing off a plane if it was offered.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member,Neutral,reallli good chicken thing spici actual spici realli good way would chicken thing plane offer
1239,3450,ATX,EWX,2022-09-07,Delayed,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-170,Express,member,Neutral,
1240,38,EDX,EWX,2022-09-07,Early & Ontime,Delayed,Atlantic,This is the on. y time in about 6 flights I was able to eat the meal. I usually bring one onboard. I am lactose intolerant. you always have cheese or a dairy poeduct on your meals. I have tried vegetarian and kosher. they suck. Beverages are fine.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member,Neutral,time 6 flight abl eat meal usual bring one onboard lactos intoler alway chees dairi poeduct meal tri vegetarian kosher suck beverag fine
1241,5476,OKX,IAX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-175,Express,member,Neutral,
1242,1933,ORX,LGX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,meal purchas
1243,2096,ORX,LAX,2022-09-07,Early & Ontime,Delayed,Domestic,Nothing available to purchase.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member,Neutral,noth avail purchas
1244,27,LHX,DEX,2022-09-07,Early & Ontime,Delayed,Atlantic,no.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member,Neutral,
1245,2369,SFX,DEX,2022-09-07,Early & Ontime,Delayed,Domestic,Would like more choices of sodas. Coke and sprite are not my choice of good sodas.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member,Neutral,would like choic soda coke sprite choic good soda
1246,2177,IAX,SLX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,For the price difference food and beverage offerings should be better.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member,Neutral,price differ food beverag offer better
1247,5,LHX,IAX,2022-09-07,Delayed,Delayed,Atlantic,"Compared to other flights, there seemed to be less wine options (maybe only 2 or 3 choices).",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member,Neutral,compar flight seem less wine option mayb 2 3 choic
1248,2404,FLX,IAX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX8,Mainline,member,Neutral,
1249,1950,IAX,ORX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,More selection would be nice. I did not know the selections because I did not want to touch the magazine.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,select would nice know select want touch magazin
1250,253,HNX,IAX,2022-09-08,Early & Ontime,Delayed,Domestic,The salad was a welcome change from the usual entrees.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,salad welcom chang usual entre
1251,171,EWX,VCX,2022-09-08,Early & Ontime,Early & Ontime,Atlantic,Breakfast was awful.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B767-300,Mainline,member,Neutral,breakfast aw
1252,1461,DEX,STX,2022-09-08,Delayed,Early & Ontime,Domestic,,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member,Neutral,
1253,998,ACX,IAX,2022-09-08,Early & Ontime,Early & Ontime,Atlantic,Food from Outbound flight was not palatable therefore did not consume on the inbound flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-8,Mainline,member,Neutral,food outbound flight palat therefor consum inbound flight
1254,1017,IAX,CUX,2022-09-07,Early & Ontime,Early & Ontime,Latin,,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,
1255,59,SFX,FRX,2022-09-08,Early & Ontime,Delayed,Atlantic,The “croissant” was a waste of space for breakfast and was not good. The sides we pretty mediocre at best. Entrees we are pretty good but not amazing.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,croissant wast space breakfast good side pretti mediocr best entre pretti good amaz
1256,59,SFX,FRX,2022-09-08,Early & Ontime,Delayed,Atlantic,I would really love some more healthy options like some fresh fruit or vegetables or a salad.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-300,Mainline,non-member,Neutral,would realli love healthi option like fresh fruit veget salad
1257,63,IAX,GRX,2022-09-08,Delayed,Delayed,Latin,"Breakfast was poor, just an yogurt and a quarter of a cookie.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member,Neutral,breakfast poor yogurt quarter cooki
1258,2643,ORX,EWX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,Unremarkable. The drinks are the least of the concerns.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,unremark drink least concern
1259,902,SFX,LHX,2022-09-08,Early & Ontime,Early & Ontime,Atlantic,,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,
1260,57,CDX,EWX,2022-09-08,Early & Ontime,Early & Ontime,Atlantic,,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,
1261,57,CDX,EWX,2022-09-08,Early & Ontime,Early & Ontime,Atlantic,The cutlery is better wrapped and sealed for sanitary purposes.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,cutleri better wrap seal sanitari purpos
1262,4244,LFX,IAX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,"It was great that a dinner was served before landing (in addition to the lunch served at the start of the flight) because we were all still on central time and were getting hungry again. Only improvements I would suggest are these: 1) would be great to be able to order what you want as a pre flight beverage, instead of just the 2 choices of water and sparkling wine. 2) Would be nice to be able to pre order meals- my daughter did not enjoy her entree but it was all that was left. Thanks!.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-145,Express,member,Neutral,great dinner serv land addit lunch serv start flight still central time get hungri improv would suggest 1 would great abl order want pre flight beverag instead 2 choic water sparkl wine 2 would nice abl pre order daughter enjoy entre left thank
1263,1188,BOX,SFX,2022-09-09,Early & Ontime,Early & Ontime,Domestic,,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member,Neutral,limit water main drink serv 2 time believ addit water offer time flight
1264,674,MCX,IAX,2022-09-09,Early & Ontime,Delayed,Domestic,the beer was not cold.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,beer cold
1265,1854,MTX,IAX,2022-09-08,Early & Ontime,Early & Ontime,Latin,,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member,Neutral,
1266,2072,IAX,SNX,2022-09-09,Early & Ontime,Early & Ontime,Domestic,Add root beer.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-700,Mainline,member,Neutral,add root beer
1267,3427,EWX,GRX,2022-09-09,Early & Ontime,Early & Ontime,Domestic,Would have liked the entire can of Coke.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-175,Express,member,Negative,would like entir coke
